molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,SMILES
CHEMBL4789145,8.92,IC50,nM,1.2,IC50,nM,1.2,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4777788,7.39,IC50,nM,40.5,IC50,nM,40.5,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4785004,7.51,IC50,nM,30.7,IC50,nM,30.7,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccc(OC)cc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4761239,7.34,IC50,nM,45.2,IC50,nM,45.2,CCNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4746403,8.31,IC50,nM,4.9,IC50,nM,4.9,CCCNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4753347,9.1,IC50,nM,0.8,IC50,nM,0.8,NC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4756997,7.64,IC50,nM,23.1,IC50,nM,23.1,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4800403,7.66,IC50,nM,21.9,IC50,nM,21.9,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4798419,7.82,IC50,nM,15.2,IC50,nM,15.2,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CC1
CHEMBL4749327,7.01,IC50,nM,97.4,IC50,nM,97.4,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OC
CHEMBL4749678,6.81,IC50,nM,155.3,IC50,nM,155.3,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC1CCC1
CHEMBL4759230,6.99,IC50,nM,102.9,IC50,nM,102.9,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC(C)(C)C
CHEMBL4787169,6.62,IC50,nM,237.4,IC50,nM,237.4,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OC(C)C
CHEMBL4750284,7.31,IC50,nM,49.2,IC50,nM,49.2,CNC(=O)c1sc(-c2ccnc(NC(=O)CNCCNc3c4c(nc5ccccc35)CCCC4)c2)nc1OCC(C)C
